地名,規範碼,long,lat,朝代,行政區
焉耆,PL000000047769,86.6729,42.2446,焉耆、鄯善等部,焉耆、鄯善等部
建章宮,PL000000042057,108.906,34.3288,,
姑臧,PL000000045045,102.6438,37.9272,前秦,前秦
張掖郡,PL000000045200,100.3606,39.0844,北魏,北朝魏_沃野鎮
盧水,PL000000046755,101.26901,36.682371,沒有給定朝代,
建康郡,PL000000045551,98.8974,39.5003,前秦,前秦
秦州,PL000000044847,105.7258,34.5853,前秦,前秦
合黎,PL000000045285,99.85091,39.391545,沒有給定朝代,
龍翔殿,PL000000045039,102.644,37.9272,,
九宮門,PL000000045040,102.64,37.93,後涼,
草堂寺,PL000000042657,108.739486,34.014462,東晉,
西明閣,PL000000042383,108.94,34.3,沒有給定朝代,
龍光寺,PL000000008756,118.801793,32.062352,,
彭城郡,PL000000009534,117.1969,34.2686,前秦,前秦
中寺,PL000000042069,108.906,34.3288,沒有給定朝代,
壽春,PL000000016391,116.7861,32.5747,東晉,東晉_揚州
石澗寺,PL000000016333,116.786,32.5747,,
天寧寺,PL000000010767,119.432292,32.403425,沒有給定朝代,
北天竺,PL000000055420,77,31,唐宋,
兜率宮,PL000000055446,0,0,沒有給定朝代,
那呵利城,PL000000000053,70.4612,34.4344,沒有給定朝代,
交趾郡,PL000000055179,106.0947,21.1413,東晉,東晉_交州
東萊郡,PL000000020956,119.9476,37.1743,前秦,前秦
江陵,PL000000027766,112.1995,30.3496,南齊,南朝齊_荊州
建康,PL000000008975,118.778,32.0514,南齊,南朝齊_揚州
于闐,PL000000047989,79.8051,37.0554,嚈噠屬國,嚈噠屬國
吳郡,PL000000009913,120.6276,31.3114,南齊,南朝齊_揚州
華嚴堂,PL000000010768,119.432536,32.403273,沒有給定朝代,
涼州,PL000000045055,102.6438,37.9272,西晉,西晉_涼州
枹罕,PL000000046543,103.22,35.6074,北魏,北朝魏_河州
吐谷渾,PL000000047059,94.157,37.1603,吐谷渾,吐谷渾
新樂門,PL000000046533,102.644,37.9272,,
瞿摩帝大寺,PL000000047980,79.8051,37.0554,,
高昌,PL000000047486,89.5989,42.8686,嚈噠屬國,嚈噠屬國
丹陽尹,PL000000008882,118.778,32.0514,南齊,南朝齊_揚州
竹園寺,PL000000008753,118.84,32.05,劉宋,
定林下寺,PL000000008743,118.836232,32.058112,慣用名,
長廣郡,PL000000020545,119.9578,36.7871,北魏,北朝魏_光州
平陽郡,PL000000005698,111.3397,36.0446,前秦,前秦
蔥嶺,PL000000055433,72,39,慣用名,
小雪山,PL000000049249,70.167,30.5,沒有給定朝代,
舊王舍城,PL000000048261,85.4173,25.022824,唐,
靈鷲山,PL000000048268,85.446703,25.001981,慣用名,
劫比他國,PL000000048367,79.446259,27.393717,唐,
阿育王塔南天王寺,PL000000048280,85.2,25.6,沒有給定朝代,
Simghala(俗語音譯),PL000000048734,80.644522,7.850076,唐,
耶婆提國,PL000000048200,106,-6,沒有給定朝代,
牢山,PL000000020455,120.628401,36.178218,沒有給定朝代,
青州,PL000000021115,118.4878,36.6869,北魏,北朝魏_青州
朱雀門,PL000000008909,118.764825,32.068755,東晉,
荊州,PL000000027944,111.7243,30.353,東晉,東晉_荊州
龍城,PL000000007786,120.461,41.579,前秦,前秦
西郡,PL000000044730,101.5832,38.3724,前秦,前秦
蔥嶺,PL000000049639,74.2194,38.096,嚈噠屬國,嚈噠屬國
蔥嶺,PL000000049641,74.2194,38.096,唐,唐_隴右道
興都庫什山,PL000000000002,71.84389,36.24583,沒有給定朝代,
森格藏布,PL000000041898,79.757,32.422,沒有給定朝代,
石留寺,PL000000049228,72.198684,34.242439,沒有給定朝代,
舍衛國,PL000000048396,82.050346,27.517038,唐,
Gank(吐火羅方言),PL000000048216,89.712485,23.790457,慣用名,
南天竺,PL000000048209,79,21,慣用名,
廣州,PL000000030478,113.2643,23.1336,南齊,南朝齊_廣州
揚州,PL000000008971,118.778,32.0514,南齊,南朝齊_揚州
東安寺,PL000000009195,118.778,32.0514,,
涼州,PL000000045052,102.6438,37.9272,北魏,北朝魏_沃野鎮
姑臧,PL000000045044,102.6438,37.9272,北魏,北朝魏_沃野鎮
閑豫宮,PL000000046534,102.644,37.9272,,
摩天陀羅精舍,PL000000049212,74,36,沒有給定朝代,
前秦,PL000000000127,108.9064,34.3288,,
山東,PL000000000220,112,37,沒有給定朝代,
始興寺,PL000000008585,118.8,32,沒有給定朝代,
枳園寺,PL000000008708,118.778,32.0514,沒有給定朝代,
揚州,PL000000008972,118.778,32.0514,東晉,東晉_揚州
蘭陵,PL000000009756,119.7983,32.0154,南齊,南朝齊_南徐州
于闐,PL000000047990,79.8636,37.114,焉耆、鄯善等部,焉耆、鄯善等部
六合山寺,PL000000016236,118.26,31.91,沒有給定朝代,
爪哇,PL000000048202,106.8,-6.3,劉宋,
交州,PL000000055171,106.0923,21.1348,南齊,南朝齊_交州
始興,PL000000030638,113.7641,24.96,南齊,南朝齊_湘州
虎市山,PL000000030601,113.6117,24.8091,沒有給定朝代,
虎市山寺,PL000000030581,113.599457,24.686215,沒有給定朝代,
寶月殿,PL000000030582,113.764,24.96,,
祇洹寺,PL000000009267,118.949549,32.509693,孫吳,
徐州,PL000000009511,117.1969,34.2686,北魏,北朝魏_徐州
彭城,PL000000009521,117.1969,34.2686,北魏,北朝魏_徐州
開福寺,PL000000009068,118.769158,32.005205,,
摩臘婆國,PL000000048331,75.298432,22.597874,沒有給定朝代,
劫波利,PL000000048733,80,8,沒有給定朝代,
林邑國,PL000000055380,108.116667,15.766667,唐,
平陸,PL000000021451,116.4778,35.8105,北魏,北朝魏_兗州
平陸寺,PL000000008663,118.778,32.0514,沒有給定朝代,
敦煌郡,PL000000045822,94.6596,40.1415,前秦,前秦
蜀郡,PL000000034777,104.0864,30.6501,南齊,南朝齊_益州
三峽,PL000000000078,110.492327,31.040671,慣用名,
荊州,PL000000027771,112.1995,30.3496,南齊,南朝齊_荊州
長沙寺,PL000000027743,112.189987,30.349696,唐,
中興寺,PL000000008874,118.720304,31.975978,沒有給定朝代,
會稽郡,PL000000013244,120.5871,30.0031,東晉,東晉_揚州
平昌郡,PL000000021167,119.3077,36.198,前秦,前秦
鄮縣,PL000000012242,121.6717,29.8931,南齊,南朝齊_揚州
紫金山,PL000000008734,118.824804,32.067029,慣用名,
嵩山,PL000000023253,113.003188,34.519744,慣用名,
華山,PL000000043539,110.081333,34.471116,慣用名,
上定林寺,PL000000008754,118.86774,31.904511,劉宋,
宋熙寺,PL000000008758,118.8333,32.0621,沒有給定朝代,
新豐,PL000000042488,109.3826,34.4949,西晉,西晉_雍州
陽關,PL000000045826,93.7264,39.988,前秦,前秦
鄯善,PL000000047715,88.1784,39.022,焉耆、鄯善等部,焉耆、鄯善等部
Baltiyul(intheBaltilanguage),PL000000049215,76,35,沒有給定朝代,
阿耨達池,PL000000041552,81.495276,30.740088,沒有給定朝代,
般涅槃塔,PL000000048391,83.89066,26.73917,沒有給定朝代,
摩訶菩提僧伽藍,PL000000048247,84.991277,24.695923,春秋,
華氏城,PL000000048279,85.184797,25.599886,東周,
成都,PL000000034786,104.0864,30.6501,南齊,南朝齊_益州
開善寺,PL000000008744,118.853147,32.060571,南梁,
會稽郡,PL000000013242,120.5871,30.0031,南齊,南朝齊_揚州
廣陵郡,PL000000010835,119.371,32.4189,南齊,南朝齊_南兗州
新亭,PL000000008868,118.710044,32.000394,,
琅邪郡,PL000000021916,118.2551,35.0464,北魏,北朝魏_徐州
南譙郡,PL000000016225,117.945,31.5599,南齊,南朝齊_南豫州
梁山,PL000000015129,118.363,31.498,沒有給定朝代,
秣陵界鳳皇樓,PL000000009299,118.8364,31.8461,,
白塔寺,PL000000009133,118.831,31.8336,沒有給定朝代,
北湖釣臺,PL000000008739,118.79,32.08,沒有給定朝代,
毘耶離寺,PL000000008669,118.778,32.0514,沒有給定朝代,
秦淮河,PL000000008641,118.729554,32.076459,沒有給定朝代,
正觀寺,PL000000008670,118.778,32.0514,南梁,
壽光殿,PL000000008594,118.778,32.0514,,
瞻雲館,PL000000008595,118.778,32.0514,,
塔里木河,PL000000047446,80.972851,40.508768,,
河西,PL000000041987,104,36,沒有給定朝代,
南康,PL000000019351,114.7536,25.6574,南齊,南朝齊_江州
潁川郡,PL000000024924,113.4762,34.1617,東漢,東漢_豫州刺史部
雍州,PL000000042398,108.8785,34.324,曹魏,三國魏_雍州
于闐,PL000000048010,79.4684,37.124,西漢,西漢_西域都護府
陳留,PL000000023472,114.5284,34.6673,曹魏,三國魏_兗州
倉恒水南寺,PL000000023413,114.363417,34.817124,沒有給定朝代,
河南,PL000000023619,112.3918,34.6646,曹魏,三國魏_司州
豫章郡,PL000000018606,115.9064,28.6738,西晉,西晉_揚州
淮陽,PL000000010552,118.7951,33.5293,南齊,南朝齊_青州、冀州
陳留郡,PL000000016393,116.6936,32.3719,南齊,南朝齊_豫州
穎川郡,PL000000016224,118.049,31.444,南齊,南朝齊_南豫州
豫章郡,PL000000018605,115.9064,28.6738,東晉,東晉_江州
河間國,PL000000003206,116.1899,38.1436,西晉,西晉_冀州
高邑,PL000000001875,114.6983,37.5831,北魏,北朝魏_定州
中山郡,PL000000002542,114.9847,38.5194,前秦,前秦
鹿野苑,PL000000048403,83.023446,25.382821,春秋,
迦尸國,PL000000048401,82.9563,25.282,東周,
張掖郡,PL000000045227,100.3567,39.0229,前秦,前秦
雁門郡,PL000000005488,112.8487,39.0434,前秦,前秦
柳泉山,PL000000000841,114.9847,38.5194,,
琅邪國,PL000000021909,118.3691,35.1222,西晉,西晉_徐州
武昌郡,PL000000027417,114.8939,30.361,東晉,東晉_江州
中原,PL000000000214,114,35,沒有給定朝代,
剡山,PL000000013445,120.809078,29.598771,沒有給定朝代,
沛國,PL000000015378,116.6531,33.9785,西晉,西晉_豫州
剡縣,PL000000013483,120.8241,29.5861,東晉,東晉_揚州
仰山,PL000000013318,120.824,29.5861,,
沃洲山禪院,PL000000013444,120.993547,29.434733,沒有給定朝代,
法台寺,PL000000013324,120.824,29.5861,,
陳留郡,PL000000023465,114.5154,34.8033,西晉,西晉_兗州
林慮,PL000000024227,113.8221,36.0681,西晉,西晉_司州
太原國,PL000000003799,112.5002,37.741,西晉,西晉_并州
